committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897648,23,86841032,1678020,PAC,POLITICAL ACTION COMMITTEE,C00538835,C00538835,COMMON GROUND PAC,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - COMMON GROUND PAC,,,2022-12-30 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,ALEXANDRIA,223012604,CONTRIBUTIONS,VOID - COMMON GROUND PAC,2022,SB,4012320231720333711,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897648,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897647,23,86619993,1678020,CCM,CAMPAIGN COMMITTEE,C00802504,C00802504,MAGAZINER FOR CONGRESS,RI,MAGAZINER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-13 00:00:00,1000.00,H,HOUSE,00,,"MAGAZINER, SETH",SETH,MAGAZINER,,,,,,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,CRANSTON,02905,CONTRIBUTIONS,,2022,SB,4012320231720333710,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897647,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897647,23,86619992,1678020,CCM,CAMPAIGN COMMITTEE,C00802504,C00802504,MAGAZINER FOR CONGRESS,RI,MAGAZINER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - MAGAZINER FOR CONGRESS,,,2022-12-13 00:00:00,-1000.00,H,HOUSE,00,,"MAGAZINER, SETH",SETH,MAGAZINER,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,CRANSTON,02905,CONTRIBUTIONS,VOID - MAGAZINER FOR CONGRESS,2022,SB,4012320231720333709,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897647,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897647,23,86619642,1678020,PAC,POLITICAL ACTION COMMITTEE,C00326439,C00326439,HOUSE CONSERVATIVES FUND,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,2500.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,ALEXANDRIA,22314,CONTRIBUTIONS,,2022,SB,4012320231720333708,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897647,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897646,23,86619640,1678020,CCM,CAMPAIGN COMMITTEE,C00802504,C00802504,MAGAZINER FOR CONGRESS,RI,MAGAZINER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,1000.00,H,HOUSE,00,,"MAGAZINER, SETH",SETH,MAGAZINER,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,CRANSTON,02905,CONTRIBUTIONS,,2022,SB,4012320231720333707,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897646,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897646,23,86619639,1678020,CCM,CAMPAIGN COMMITTEE,C00420760,C00420760,FRIENDS OF MAZIE HIRONO,HI,FRIENDS OF MAZIE HIRONO,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,1000.00,H,HOUSE,02,S2HI00106,"HIRONO, MAZIE K. SEN.",MAZIE,HIRONO,K.,SEN.,,HI,HAWAII,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,HONOLULU,96809,CONTRIBUTIONS,,2022,SB,4012320231720333706,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897646,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897646,23,86619638,1678020,CCM,CAMPAIGN COMMITTEE,C00606939,C00606939,ROSEN FOR NEVADA,NV,ROSEN FOR NEVADA,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,1000.00,S,SENATE,,,"ROSEN, JACKY",JACKY,ROSEN,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,LAS VEGAS,89126,CONTRIBUTIONS,,2022,SB,4012320231720333705,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897646,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897645,23,86619637,1678020,CCM,CAMPAIGN COMMITTEE,C00410225,C00410225,BOB CASEY FOR PENNSYLVANIA COMMITTEE,PA,BOB CASEY FOR PENNSYLVANIA COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,1000.00,S,SENATE,,,"CASEY, BOB MR.",BOB,CASEY,,MR.,,PA,PENNSYLVANIA,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,PHILADELPHIA,19110,CONTRIBUTIONS,,2022,SB,4012320231720333704,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897645,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897645,23,86619636,1678020,PAC,POLITICAL ACTION COMMITTEE,C00571182,C00571182,GETTING STUFF DONE PAC,AZ,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,2000.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,TEMPE,85285,CONTRIBUTIONS,,2022,SB,4012320231720333703,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897645,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202301239574897645,23,86619635,1678020,CCM,CAMPAIGN COMMITTEE,C00815373,C00815373,"LAUREL LEE FOR CONGRESS, INC.",FL,"LAUREL LEE FOR CONGRESS, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,2022-12-12 00:00:00,1000.00,H,HOUSE,00,,"LEE, LAUREL",LAUREL,LEE,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-24 03:36:22,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4012320231720252044,BRANDON,33509,CONTRIBUTIONS,,2022,SB,4012320231720333702,https://docquery.fec.gov/cgi-bin/fecimg/?202301239574897645,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
