committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488153,17,VTDGHAF52Y0,1564184,ORG,ORGANIZATION,,,FIRST DATA,GA,,,,,CREDIT CARD PROCESSING FEES,,,2021-01-04 00:00:00,19.95,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.724,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,ATLANTA,303421651,OTHER,,2022,SB,4022320221424406450,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488153,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488168,17,VTDGHAF4ZB3,1564184,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,CREDIT CARD PROCESSING FEES,,,2021-01-04 00:00:00,205.67,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.729,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,SOMERVILLE,021443132,OTHER,,2022,SB,4022320221424406495,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488168,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488169,17,VTDGHAF52K3,1564184,ORG,ORGANIZATION,,,GOOGLE,CA,,,,,EMAIL SERVICES,,,2021-01-04 00:00:00,356.51,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.729,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,MOUNTAIN VIEW,940431351,OTHER,,2022,SB,4022320221424406500,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488169,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488180,17,VTDGHAF53W4,1564184,ORG,ORGANIZATION,,,SEVENCO,CA,,,,,RENT,,,2021-01-04 00:00:00,3600.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.733,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,IRVINE,926173205,ADMINISTRATIVE,,2022,SB,4022320221424406533,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488180,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488185,17,VTDGHAF52J5,1564184,ORG,ORGANIZATION,,,ZOOM VIDEO COMMUNICATIONS,CA,,,,,SOFTWARE SUBSCRIPTION,,,2021-01-04 00:00:00,317.96,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.734,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,SAN JOSE,951131608,OTHER,,2022,SB,4022320221424406548,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488185,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488188,17,VTDGHAF54E6,1564184,ORG,ORGANIZATION,,,SHOPIFY,NY,,,,,CREDIT CARD PROCESSING FEES,,,2021-01-04 00:00:00,25.71,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.736,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,NEW YORK,100122632,OTHER,,2022,SB,4022320221424406557,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488188,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488191,17,VTDGHAF52V6,1564184,ORG,ORGANIZATION,,,FIRST DATA,GA,,,,,CREDIT CARD PROCESSING FEES,,,2021-01-04 00:00:00,13.66,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.737,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,ATLANTA,303421651,OTHER,,2022,SB,4022320221424406566,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488191,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488192,17,VTDGHAF53V6,1564184,ORG,ORGANIZATION,,,"NUMERO, INC.",CA,,,,,SOFTWARE,,,2021-01-04 00:00:00,1100.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.737,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,ALISO VIEJO,926565301,OTHER,,2022,SB,4022320221424406567,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488192,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488197,17,VTDGHAF52Z7,1564184,ORG,ORGANIZATION,,,FIRST DATA,GA,,,,,CREDIT CARD PROCESSING FEES,,,2021-01-04 00:00:00,29.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.738,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,ATLANTA,303421651,OTHER,,2022,SB,4022320221424406584,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488197,Operating Expenditures,,,,,,
C00636571,KATIE PORTER FOR CONGRESS,2021,Q1,202201319485488201,17,VTDGHAF52N8,1564184,ORG,ORGANIZATION,,,WOODBRIDGE SELF STORAGE,CA,,,,,STORAGE RENT,,,2021-01-04 00:00:00,78.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-02-24 03:49:25.739,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120221403734615,IRVINE,926044652,ADMINISTRATIVE,,2022,SB,4022320221424406595,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485488201,Operating Expenditures,,,,,,
