committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134696,17,500564691,1558804,ORG,ORGANIZATION,,,ACTBLUE,MA,,,,,MERCHANT FEES,,,2021-01-04 00:00:00,882.85,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.254,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,CAMBRIDGE,021385106,OTHER,,2022,SB,4012620221403292328,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134696,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134731,17,500564579,1558804,ORG,ORGANIZATION,,,FIRST BANK MERCHANT SERVICES,FL,,,,,MERCHANT FEES,,,2021-01-04 00:00:00,735.43,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.259,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,FORT LAUDERDALE,333407066,OTHER,,2022,SB,4012620221403292433,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134731,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134731,17,500564580,1558804,ORG,ORGANIZATION,,,FIRST BANK MERCHANT SERVICES,FL,,,,,MERCHANT FEES,,,2021-01-04 00:00:00,143.96,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.259,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,FORT LAUDERDALE,333407066,OTHER,,2022,SB,4012620221403292434,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134731,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134731,17,500564581,1558804,ORG,ORGANIZATION,,,FIRST BANK MERCHANT SERVICES,FL,,,,,MERCHANT FEES,,,2021-01-04 00:00:00,163.64,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.259,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,FORT LAUDERDALE,333407066,OTHER,,2022,SB,4012620221403292435,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134731,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134732,17,500564582,1558804,ORG,ORGANIZATION,,,FIRST BANK MERCHANT SERVICES,FL,,,,,MERCHANT FEES,,,2021-01-04 00:00:00,876.12,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.259,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,FORT LAUDERDALE,333407066,OTHER,,2022,SB,4012620221403292436,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134732,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134750,17,500564583,1558804,ORG,ORGANIZATION,,,US POSTMASTER,CA,,,,,POSTAGE/SHIPPING EXPENSE,,,2021-01-04 00:00:00,22.75,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.262,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,PASADENA,911095601,ADMINISTRATIVE,,2022,SB,4012620221403292492,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134750,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134751,17,500564584,1558804,ORG,ORGANIZATION,,,US POSTMASTER,CA,,,,,POSTAGE/SHIPPING EXPENSE,,,2021-01-05 00:00:00,22.75,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.262,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,PASADENA,911095601,ADMINISTRATIVE,,2022,SB,4012620221403292493,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134751,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134741,17,500564585,1558804,ORG,ORGANIZATION,,,KAUFMAN LEGAL GROUP,CA,,,,,LEGAL & TREASURY FEES,,,2021-01-07 00:00:00,4500.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.261,,,,0.00,,,,,,,,,,,,H,"",P,F3,4012520221389099011,LOS ANGELES,900175864,OTHER,,2022,SB,4012620221403292464,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134741,Operating Expenditures,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134766,20A,500564795,1558804,IND,INDIVIDUAL,,,"BROWN, SUZANNE",MT,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2021-01-10 00:00:00,50.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.265,,,,0.00,BROWN,SUZANNE,,,,,,,,,,H,"",P,F3,4012520221389099011,KALISPELL,599017410,REFUNDS,,2022,SB,4012620221403292539,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134766,Refunds of Contributions to Individuals/Persons Other Than Political Committees,,,,,,
C00343871,SCHIFF FOR CONGRESS,2021,Q1,202201249475134767,20A,500564796,1558804,IND,INDIVIDUAL,,,"BROWN, SUZANNE",MT,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2021-01-10 00:00:00,25.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-01-27 07:24:21.265,,,,0.00,BROWN,SUZANNE,,,,,,,,,,H,"",P,F3,4012520221389099011,KALISPELL,599017410,REFUNDS,,2022,SB,4012620221403292540,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475134767,Refunds of Contributions to Individuals/Persons Other Than Political Committees,,,,,,
